                                             Name   Anys   Exprs   Coverage
---------------------------------------------------------------------------
                                     backend.a2ui      0       1    100.00%
                                 backend.a2ui.bus      0     257    100.00%
                              backend.a2ui.schema      9     290     96.90%
                                   backend.agents    170    2795     93.92%
                       backend.agents.dep_checker     39     353     88.95%
                  backend.agents.gatekeeper_agent      4     386     98.96%
                         backend.agents.gsd_agent     34    1335     97.45%
                                     backend.auth      0      56    100.00%
                                  backend.browser      0       1    100.00%
                          backend.browser.session     78     616     87.34%
                          backend.browser.tooling      0     259    100.00%
                                   backend.config      0     830    100.00%
                           backend.config_gateway      0     129    100.00%
                  backend.content.analytics_agent      4     328     98.78%
               backend.content.avatar_video_agent      7     476     98.53%
                       backend.content.base_agent      0     177    100.00%
                    backend.content.caption_agent      5     297     98.32%
                backend.content.idea_intake_agent     13     273     95.24%
                        backend.content.job_store      0     240    100.00%
                         backend.content.pipeline      0     287    100.00%
                  backend.content.publisher_agent      0     481    100.00%
          backend.content.publishers.youtube_auth     19     273     93.04%
                         backend.content.qa_agent      5     452     98.89%
              backend.content.script_writer_agent      1     363     99.72%
                 backend.content.trend_researcher     13     358     96.37%
                        backend.content.video_job      0     322    100.00%
                      backend.content.voice_agent     22     473     95.35%
                  backend.database.customer_store    186     475     60.84%
                       backend.database.gsd_store      1     500     99.80%
                backend.database.higgsfield_store    229     573     60.03%
                              backend.discord_bot    675    3106     78.27%
                                  backend.gateway     11     364     96.98%
                              backend.gateway.acl      6     180     96.67%
                         backend.gateway.adapters      0      32    100.00%
               backend.gateway.adapters.anthropic    147     554     73.47%
                    backend.gateway.adapters.base      0     142    100.00%
                  backend.gateway.adapters.ollama     90     376     76.06%
                  backend.gateway.adapters.openai     89     397     77.58%
              backend.gateway.adapters.openrouter     97     427     77.28%
                            backend.gateway.audit      5     223     97.76%
                             backend.gateway.auth     43     606     92.90%
                           backend.gateway.health      0     312    100.00%
                       backend.gateway.middleware      6     214     97.20%
                        backend.gateway.ratelimit     19     332     94.28%
                          backend.gateway.secrets      6     389     98.46%
                        backend.gateway.streaming     24     213     88.73%
                            backend.gateway.usage     31     321     90.34%
                backend.grounded_operator_answers      6     361     98.34%
                                backend.knowledge     21     744     97.18%
              backend.knowledge.context_assembler    110     993     88.92%
                       backend.knowledge.doc_seed      7     281     97.51%
                     backend.knowledge.llm_models      6      44     86.36%
                   backend.knowledge.vendor.cache      2     158     98.73%
                backend.knowledge.vendor.chunking      0     137    100.00%
                 backend.knowledge.vendor.storage     11     448     97.54%
                                      backend.llm     78     698     88.83%
                             backend.llm.profiles      9     473     98.10%
                     backend.llm.unified_registry     27     874     96.91%
                                      backend.mcp     23     426     94.60%
                      backend.mcp.gitnexus_health      8     177     95.48%
         backend.mcp.higgsfield_playwright_server    369    1591     76.81%
                                   backend.memory     58     605     90.41%
                               backend.middleware      8     498     98.39%
                                       backend.ml      0       1    100.00%
                         backend.ml.ab_experiment     30     701     95.72%
                             backend.ml.benchmark     67     786     91.48%
                          backend.ml.data_version     33     333     90.09%
                    backend.ml.decision_collector     28     868     96.77%
                          backend.ml.doc_enforcer      3     274     98.91%
                        backend.ml.eval_framework    132     881     85.02%
                    backend.ml.experiment_tracker     31     640     95.16%
                          backend.ml.learning_lab     26     776     96.65%
                        backend.ml.mlflow_tracker     42     521     91.94%
                               backend.ml.monitor     23     817     97.18%
                              backend.ml.pipeline     35     372     90.59%
                          backend.ml.preprocessor     12     321     96.26%
                               backend.ml.scoring     40     711     94.37%
      backend.ml.training.generate_education_data     66     350     81.14%
     backend.ml.training.generate_higgsfield_data     69     586     88.23%
backend.ml.training.generate_prompt_engineer_data     37     380     90.26%
                    backend.ml.training_generator     40     712     94.38%
                           backend.ml.turbo_quant     30     373     91.96%
                          backend.ml.vector_store      4     470     99.15%
                                   backend.models     42     923     95.45%
                          backend.models.customer      3     197     98.48%
                               backend.models.gsd      1     340     99.71%
                   backend.models.tool_converters     23     231     90.04%
                       backend.news.intel_scraper     64     922     93.06%
                                      backend.ocr      1     120     99.17%
                             backend.orchestrator     68    2043     96.67%
               backend.orchestrator.agent_factory      7     357     98.04%
          backend.orchestrator.fast_route_binding     13     132     90.15%
                  backend.orchestrator.lex_router     35     410     91.46%
             backend.orchestrator.openclaw_bridge     27     574     95.30%
                               backend.port_guard     47    1011     95.35%
                                   backend.routes      0     133    100.00%
                              backend.routes.a2ui      6     215     97.21%
                     backend.routes.agent_control      5     131     96.18%
                     backend.routes.agent_factory     68     290     76.55%
                        backend.routes.auth_oauth    123     462     73.38%
                  backend.routes.content_pipeline      2     428     99.53%
                         backend.routes.customers      0     356    100.00%
                           backend.routes.gateway     25     560     95.54%
                     backend.routes.gateway_admin     27     858     96.85%
                               backend.routes.gsd      2     306     99.35%
                        backend.routes.higgsfield      3     247     98.79%
                         backend.routes.knowledge      8     139     94.24%
                      backend.routes.llm_registry      1      63     98.41%
                         backend.routes.marketing     18     433     95.84%
                        backend.routes.mcp_server    141     616     77.11%
                 backend.routes.memory_management      0      68    100.00%
                                backend.routes.ml      8     543     98.53%
                           backend.routes.ml_eval     94     958     90.19%
                       backend.routes.ml_training      0     144    100.00%
                         backend.routes.ml_webgen      5     507     99.01%
                           backend.routes.network     20     589     96.60%
                              backend.routes.news     12     104     88.46%
                           backend.routes.sandbox      2     626     99.68%
                   backend.routes.schedule_routes     11     282     96.10%
                   backend.routes.security_alerts      4     116     96.55%
                            backend.routes.skills      0     104    100.00%
                      backend.routes.social_media    213    1376     84.52%
                            backend.routes.studio     18     566     96.82%
                   backend.routes.task_management      1      17     94.12%
                    backend.routes.webgen_builder     16     661     97.58%
                          backend.routes.webhooks     10     567     98.24%
                                backend.scheduler     63     340     81.47%
                   backend.security.event_watcher     25     261     90.42%
                      backend.security_middleware     44     279     84.23%
                                   backend.server    244    3049     92.00%
                                   backend.skills      1      55     98.18%
             backend.skills.job_application.agent     19     233     91.85%
         backend.skills.job_application.handshake    227    1216     81.33%
                            backend.skills.loader      7     389     98.20%
                          backend.skills.registry      3     486     99.38%
        backend.skills.turbo_quant_rust.quantizer     37     219     83.11%
                                    backend.tasks     40     575     93.04%
                           backend.tests.conftest      1      22     95.45%
                  backend.tests.gateway.test_auth      0       1    100.00%
         backend.tests.gateway.test_ratelimit_acl      0       1    100.00%
               backend.tests.gateway.test_secrets      0       1    100.00%
                        backend.tests.mock_ollama     12     256     95.31%
                   backend.tests.test_a2ui_schema     42     328     87.20%
             backend.tests.test_agent_definitions      0       1    100.00%
                 backend.tests.test_agent_factory      1      13     92.31%
                backend.tests.test_agent_to_agent      0      28    100.00%
            backend.tests.test_architecture_drift      0       9    100.00%
               backend.tests.test_base_agent_deep      0      79    100.00%
                 backend.tests.test_browser_tools     50     295     83.05%
         backend.tests.test_chat_with_mock_ollama      0      36    100.00%
                   backend.tests.test_config_cors      5      16     68.75%
             backend.tests.test_config_validation      2      13     84.62%
                backend.tests.test_content_agents      0      46    100.00%
                backend.tests.test_customer_store     80     751     89.35%
                   backend.tests.test_dep_checker     33     116     71.55%
                   backend.tests.test_discord_bot      2     158     98.73%
      backend.tests.test_docker_sandbox_exec_path    101     371     72.78%
      backend.tests.test_docker_sandbox_lifecycle     33     114     71.05%
                   backend.tests.test_drift_guard      4      21     80.95%
            backend.tests.test_fast_route_binding      0       4    100.00%
         backend.tests.test_gateway_adapters_real      0     111    100.00%
            backend.tests.test_gateway_middleware      0      14    100.00%
            backend.tests.test_gateway_usage_real     19     295     93.56%
                     backend.tests.test_gsd_agent      3     196     98.47%
                     backend.tests.test_gsd_store     18     473     96.19%
                   backend.tests.test_health_deps      0      11    100.00%
              backend.tests.test_health_endpoints      0       2    100.00%
             backend.tests.test_integration_flows      0       6    100.00%
               backend.tests.test_knowledge_store      5      24     79.17%
              backend.tests.test_knowledge_vendor      0      34    100.00%
                        backend.tests.test_launch      0      62    100.00%
                    backend.tests.test_lex_router      0      54    100.00%
                    backend.tests.test_llm_client     10      58     82.76%
                    backend.tests.test_mcp_bridge      0      51    100.00%
                  backend.tests.test_memory_store      0       2    100.00%
              backend.tests.test_ml_ab_experiment     15     265     94.34%
                  backend.tests.test_ml_benchmark      9     324     97.22%
               backend.tests.test_ml_data_version     43     266     83.83%
               backend.tests.test_ml_doc_enforcer     43     272     84.19%
             backend.tests.test_ml_eval_framework     25     518     95.17%
         backend.tests.test_ml_experiment_tracker     49     414     88.16%
             backend.tests.test_ml_mlflow_tracker     48     388     87.63%
                    backend.tests.test_ml_monitor     53     513     89.67%
                   backend.tests.test_ml_pipeline     28     315     91.11%
                    backend.tests.test_ml_scoring      4     382     98.95%
                   backend.tests.test_ml_training      1      25     96.00%
                backend.tests.test_ml_turbo_quant      0     251    100.00%
               backend.tests.test_ml_vector_store     16     427     96.25%
                backend.tests.test_model_failover     57     218     73.85%
                 backend.tests.test_observability      0       6    100.00%
                     backend.tests.test_ocr_agent     17     158     89.24%
          backend.tests.test_orchestrator_routing    295     630     53.17%
           backend.tests.test_page_generator_real      2     324     99.38%
              backend.tests.test_profile_rotation      3     168     98.21%
                     backend.tests.test_ratelimit      0       5    100.00%
             backend.tests.test_regression_matrix      0       5    100.00%
               backend.tests.test_repair_patterns     65     499     86.97%
          backend.tests.test_routes_deterministic      0      20    100.00%
               backend.tests.test_routes_extended     27      98     72.45%
          backend.tests.test_routes_skills_memory      0      25    100.00%
           backend.tests.test_runtime_integration      5     110     95.45%
             backend.tests.test_runtime_inventory      1      32     96.88%
             backend.tests.test_sandbox_exec_tool     49     183     73.22%
        backend.tests.test_sandbox_port_allocator     52     127     59.06%
                     backend.tests.test_scheduler     11     130     91.54%
              backend.tests.test_scheduler_routes      0     157    100.00%
