                                             Name   Unannotated   Explicit   Unimported   Omitted Generics   Error   Special Form   Implementation Artifact
-----------------------------------------------------------------------------------------------------------------------------------------------------------
                                          backend             0          0            0                  0       0              0                         0
                                     backend.a2ui             0          0            0                  0       0              0                         0
                                 backend.a2ui.bus             0         96            0                 48       0              0                         0
                              backend.a2ui.schema             0        411            0                143       0              0                         0
                                   backend.agents             0        693            0                307       4              0                         5
                       backend.agents.dep_checker             0        121            7                 11       0              0                         0
                  backend.agents.gatekeeper_agent             0         90            0                 34       0              0                         0
                         backend.agents.gsd_agent             0        130            0                428       0              0                         0
                                     backend.auth             0          2            0                  6       0              0                         0
                                  backend.browser             0          0            0                  0       0              0                         0
                          backend.browser.session             0        102            0                  8       0              0                         0
                          backend.browser.tooling             0         22            0                  4       0              0                         0
                                   backend.config             0          0            0                172       0              0                         0
                           backend.config_gateway             0          6            0                 40       0              0                         0
                                  backend.content             0          0            0                  0       0              0                         0
                  backend.content.analytics_agent             0         77            0                 86       0              0                         0
               backend.content.avatar_video_agent             0         97            0                  0       0              0                         0
                       backend.content.base_agent             0          5            0                  0       0              0                         0
                    backend.content.caption_agent             0         44            0                  0       0              0                         0
                backend.content.idea_intake_agent             0          5            0                152       0              0                         0
                        backend.content.job_store             0         10            0                  9       0              0                         0
                         backend.content.pipeline             2         19            0                  8       0              0                         0
                  backend.content.publisher_agent             0         15            0                 77       8              0                         0
                       backend.content.publishers             0          0            0                  0       0              0                         0
          backend.content.publishers.youtube_auth             1         64            0                 22       0              0                         0
                         backend.content.qa_agent             0         72            0                  7       0              0                         0
              backend.content.script_writer_agent             0          5            0                 15       0              0                         0
                 backend.content.trend_researcher             0         12            0                170       0              0                         0
                        backend.content.video_job             0        195            0                 68       0              0                         0
                      backend.content.voice_agent             4         40           24                  0       0              0                         0
                                 backend.database             0          0            0                  0       0              0                         0
                  backend.database.customer_store           200         85            0                  6       0              0                         0
                       backend.database.gsd_store             0         70            0                  7       0              0                         0
                backend.database.higgsfield_store           259         39            0                146       0              0                         2
                              backend.discord_bot             6        921            6                574       0              0                         0
                                  backend.gateway             0         21            0                  2      10              0                         0
                              backend.gateway.acl             0         16            0                  2       0              0                         0
                         backend.gateway.adapters             0          0            0                  5       0              0                         0
               backend.gateway.adapters.anthropic             0        229            0                113       0              0                         0
                    backend.gateway.adapters.base             0         24            0                 20       0              0                         0
                  backend.gateway.adapters.ollama             0        103            0                146       0              0                         0
                  backend.gateway.adapters.openai             0        166            0                 47       0              0                         0
              backend.gateway.adapters.openrouter             0        160            0                 40       0              0                         0
                            backend.gateway.audit             0         47            7                 12       0              0                         0
                             backend.gateway.auth             0        106            0                 77       0              0                         0
                           backend.gateway.health             0         17            0                240       0              0                         0
                       backend.gateway.middleware             0         34            0                 24       0              0                         0
                        backend.gateway.ratelimit             0         47            3                160       2              0                         0
                          backend.gateway.secrets             0         37            0                 19       0              0                         0
                        backend.gateway.streaming             0        123            0                 55       0              0                         0
                            backend.gateway.usage             0         43            0                  8       0              0                         0
                backend.grounded_operator_answers             0        362            0                114       0              0                         0
                                backend.knowledge             0        167            0                 97       0              0                         0
              backend.knowledge.context_assembler             0        275            0                 70       0              0                         0
                       backend.knowledge.doc_seed             0         18            0                 32       0              0                         0
                     backend.knowledge.llm_models             0         41            0                  8       0              0                         0
                         backend.knowledge.vendor             0          0            0                  0       0              0                         0
                   backend.knowledge.vendor.cache             0         46            0                  4       0              0                         0
                backend.knowledge.vendor.chunking             0          0            0                 69       0              0                         0
                 backend.knowledge.vendor.storage             0        147            0                 58       0              0                         0
                                      backend.llm            20        132            3                 12       0              0                         0
                             backend.llm.profiles             0         87            0                 53       0              0                         0
                     backend.llm.unified_registry             0         63           25                114       0              0                         0
                                      backend.mcp             0        128            0                 41       0              0                         0
                      backend.mcp.gitnexus_health             0         58            0                 30       0              0                         0
         backend.mcp.higgsfield_playwright_server             0        733            0                109       0              0                         0
                                   backend.memory             0        214            0                  8       0              0                         0
                               backend.middleware             0         33            7                 13       0              0                         0
                                       backend.ml             0          0            0                  0       0              0                         0
                         backend.ml.ab_experiment             0        313            0                166       0              0                         0
                             backend.ml.benchmark             0        297            0                123       0              0                         0
                          backend.ml.data_version             0        129            0                 16       0              0                         0
                    backend.ml.decision_collector             0        502            0                168       0              0                         0
                          backend.ml.doc_enforcer             0         60           21                  4       0              0                         0
                        backend.ml.eval_framework             0        335            0                313       0              0                         0
                    backend.ml.experiment_tracker             0        180            0                 28       0              0                         0
                          backend.ml.learning_lab             0        216            0                175       0              0                         0
                        backend.ml.mlflow_tracker             4        125            0                 88      24              0                         2
                               backend.ml.monitor             0        230            7                 70       0              0                         0
                              backend.ml.pipeline             0        118            0                 28       0              0                         0
                          backend.ml.preprocessor             0        128            0                 78       0              0                         0
                               backend.ml.scoring             0        195            0                154       0              0                         0
                              backend.ml.training             0          0            0                  0       0              0                         0
      backend.ml.training.generate_education_data             0          5            7                231       0              0                         0
     backend.ml.training.generate_higgsfield_data             0         14            7                261       0              0                         0
backend.ml.training.generate_prompt_engineer_data             0          9            7                176       0              0                         0
                    backend.ml.training_generator             0        235            0                 75       0              0                         0
                           backend.ml.turbo_quant             0        165            0                 63       0              0                         0
                          backend.ml.vector_store             0         77            0                 35       0              0                         0
                                   backend.models             0       2230            0                633       0              0                         0
                          backend.models.customer             0        225            0                102       0              0                         0
                               backend.models.gsd             0        510            0                163       0              0                         0
                   backend.models.tool_converters             0        206            0                 66       0              0                         0
                                     backend.news             0          0            0                  0       0              0                         0
                       backend.news.intel_scraper             0        279            0                 54       0              0                         0
                                      backend.ocr             0         16            0                  5       0              0                         0
                             backend.orchestrator             0        752            0                669       0              0                         0
               backend.orchestrator.agent_factory             0        242            0                100       0              0                         0
          backend.orchestrator.fast_route_binding             0         17            0                  8       0              0                         0
                  backend.orchestrator.lex_router             6        104            0                 88       0              0                         0
             backend.orchestrator.openclaw_bridge             0        171            0                 63       0              0                         0
                               backend.port_guard            10        175            0                 17       0              0                         0
                                   backend.routes             0         32            0                  0       0              0                         0
                              backend.routes.a2ui             0        112            0                 16       0              0                         0
                     backend.routes.agent_control             2        217            0                 59       0              0                         0
                     backend.routes.agent_factory            73        379            0                 95       0              0                         0
                        backend.routes.auth_oauth             5        280            0                 48       0              0                         0
                  backend.routes.content_pipeline             0        272            0                132       0              0                         0
